,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Score,Happiness Score,Happiness Score,Happiness Score,Happiness Score,Economy (GDP per Capita),Economy (GDP per Capita),Economy (GDP per Capita),Economy (GDP per Capita),Economy (GDP per Capita),Family,Family,Family,Family,Family,Health (Life Expectancy),Health (Life Expectancy),Health (Life Expectancy),Health (Life Expectancy),Health (Life Expectancy),Freedom,Freedom,Freedom,Freedom,Freedom,Trust (Government Corruption),Trust (Government Corruption),Trust (Government Corruption),Trust (Government Corruption),Trust (Government Corruption),Generosity,Generosity,Generosity,Generosity,Generosity,year,year,year,year,year
Country,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std
Bangladesh,113.8,110,109,125,6.68580586,4.58,4.61,4.46,4.69,0.1,0.523996595,0.54177,0.39753,0.586682975,0.073735319,0.638336348,0.735131741,0.24749,0.928,0.288877237,0.593354207,0.579,0.52989,0.723,0.078619381,0.478267332,0.478356659,0.39778,0.58,0.07764029,0.132447572,0.12583,0.123717859,0.144,0.010130119,0.17895907,0.172255352,0.153,0.21222,0.023161567,2017,2017,2015,2019,1.58113883
Kenya,120.8,122,112,125,5.167204273,4.45,4.42,4.36,4.55,0.08,0.490571892,0.512,0.36471,0.560479462,0.074537964,0.972022145,0.99876,0.7624,1.067950726,0.122220903,0.41216167,0.41435,0.30147,0.581,0.1150583,0.443134753,0.431,0.40576,0.504,0.03801901,0.059578264,0.05839,0.053,0.06686,0.006006335,0.391512062,0.37542,0.352,0.444860309,0.037150897,2017,2017,2015,2019,1.58113883
Djibouti,126,126,126,126,,4.37,4.37,4.37,4.37,,0.44025,0.44025,0.44025,0.44025,,0.59207,0.59207,0.59207,0.59207,,0.36291,0.36291,0.36291,0.36291,,0.46074,0.46074,0.46074,0.46074,,0.28105,0.28105,0.28105,0.28105,,0.18093,0.18093,0.18093,0.18093,,2015,2015,2015,2015,
Iraq,116.8,117,112,126,5.718391382,4.53,4.5,4.44,4.68,0.1,1.043188097,1.043,0.98549,1.102710485,0.047352383,0.86811064,0.971,0.59205,0.98,0.168781229,0.544862094,0.536,0.50118047,0.60237,0.042736842,0.216423107,0.24856,0,0.304,0.123843211,0.113091151,0.107215755,0.089,0.13788,0.02290262,0.174149453,0.17922,0.148,0.199637264,0.02507777,2017,2017,2015,2019,1.58113883
Armenia,122.8,121,116,129,5.215361924,4.39,4.36,4.32,4.56,0.09,0.839133348,0.85,0.76821,0.900596738,0.049832602,0.890872744,0.99,0.62477,1.055,0.183108384,0.697850885,0.666,0.637524426,0.815,0.075259888,0.216028653,0.19847,0.14037,0.283,0.056491964,0.038766884,0.03616,0.026674422,0.064,0.015047539,0.082393618,0.07855,0.077,0.095,0.007481763,2017,2017,2015,2019,1.58113883
Sierra Leone,116.4,113,106,129,9.37016542,4.56,4.57,4.37,4.71,0.13,0.317502186,0.33024,0.256,0.368420929,0.052985307,0.844369209,0.841,0.628,0.984136045,0.14119362,0.049512951,0,0,0.242,0.107630508,0.339589538,0.318697691,0.30685,0.4084,0.043059344,0.067783035,0.071095176,0.045,0.08786,0.018389168,0.24737818,0.23897,0.21488,0.293040901,0.028815034,2017,2017,2015,2019,1.58113883
Georgia,125.6,126,119,130,4.159326869,4.34,4.3,4.25,4.52,0.11,0.853886533,0.853,0.7419,0.950612664,0.076131332,0.481344987,0.570614934,0.19249,0.666,0.191645249,0.682831396,0.649546981,0.64035,0.752,0.053476566,0.352158007,0.346,0.309410036,0.40577,0.038794991,0.266555327,0.251666635,0.164,0.38331,0.086253086,0.051667763,0.054008815,0.038,0.06786,0.011662589,2017,2017,2015,2019,1.58113883
Mauritania,125,124,122,130,3.16227766,4.35,4.36,4.2,4.49,0.11,0.568687458,0.57,0.45407,0.648457289,0.073627076,1.078906166,1.167,0.84142,1.27203083,0.208009327,0.342295856,0.292,0.28534928,0.489,0.087593616,0.132043609,0.1268,0.066,0.24232,0.066804722,0.134423401,0.136957005,0.088,0.17955,0.043384393,0.177546005,0.201870024,0.106,0.22686,0.054214959,2017,2017,2015,2019,1.58113883
Ghana,115,114,98,131,13,4.54,4.63,4.12,5,0.35,0.609374965,0.611,0.54558,0.667224824,0.045253753,0.762146947,0.868,0.49353,0.896,0.173591977,0.363353545,0.337,0.295637727,0.486,0.080919079,0.427235259,0.423026294,0.381,0.499,0.043665155,0.034097274,0.0326,0.02533637,0.04355,0.007569242,0.231364789,0.23087,0.212,0.256923944,0.019926511,2017,2017,2015,2019,1.58113883
Myanmar,124.6,129,114,131,7.635443668,4.38,4.36,4.31,4.55,0.1,0.47426211,0.36711055,0.27108,0.71,0.205680962,0.977419188,1.123235941,0.69981,1.181,0.250220188,0.452556514,0.429,0.397522569,0.555,0.066824946,0.497316407,0.514492035,0.42692,0.58,0.063480954,0.186317241,0.188816205,0.172,0.20243,0.011792034,0.723533032,0.79588,0.566,0.838075161,0.130555726,2017,2017,2015,2019,1.58113883
Congo (Kinshasa),126,126,120,132,4.301162634,4.35,4.28,4.25,4.52,0.12,0.06234247,0.069,0,0.094,0.038247932,1.059596691,1.125,0.80676,1.229023457,0.162908758,0.207693405,0.191407025,0.09806,0.357,0.093512914,0.23980627,0.235961348,0.15602,0.312,0.057637587,0.060448271,0.060241356,0.052,0.07625,0.009704104,0.231675167,0.246455833,0.197,0.25458,0.025545526,2017,2017,2015,2019,1.58113883
Sri Lanka,123,120,116,132,7.483314774,4.39,4.42,4.27,4.47,0.08,0.937054029,0.949,0.83524,1.009850144,0.066098826,1.141171277,1.259976387,0.84783,1.314,0.200175351,0.691252166,0.672,0.62007,0.831,0.086054543,0.532328651,0.53726,0.47,0.585,0.045003918,0.068416793,0.073653966,0.047,0.09179,0.019349111,0.383984712,0.40828,0.244,0.490863562,0.105944026,2017,2017,2015,2019,1.58113883
Cameroon,109.8,107,96,133,14.75466028,4.7,4.7,4.25,5.04,0.33,0.519155073,0.535,0.4225,0.564305365,0.056027553,0.852021644,0.891,0.62542,0.946018219,0.12877817,0.201378423,0.182,0.12698,0.331,0.084362682,0.43716775,0.430388749,0.381,0.49309,0.040949926,0.050085326,0.051306631,0.037,0.06126,0.010102451,0.207855691,0.20618,0.183,0.236298457,0.023576741,2017,2017,2015,2019,1.58113883
Bulgaria,113,105,97,134,17.21917536,4.62,4.71,4.22,5.01,0.38,1.086535818,1.092,1.01216,1.161459088,0.056870967,1.298787892,1.434379458,0.92542,1.515,0.268112089,0.735953536,0.712,0.67806,0.815,0.054487453,0.295458344,0.30587,0.21219,0.359,0.053291359,0.007784306,0.00872,0.004,0.011051531,0.002739531,0.101063539,0.113177694,0.064,0.12793,0.027267678,2017,2017,2015,2019,1.58113883
Ethiopia,123.4,122,115,134,7.368853371,4.42,4.46,4.29,4.51,0.1,0.293358769,0.308,0.19073,0.339233845,0.060560108,0.766209841,0.864669204,0.37932,1.033,0.269548872,0.412547942,0.391,0.34578,0.532,0.076603708,0.401274548,0.408842742,0.344,0.452,0.045241968,0.146727143,0.15048,0.1,0.1717,0.028162215,0.256024148,0.24325,0.209,0.31265074,0.045866857,2017,2017,2015,2019,1.58113883
Swaziland,118,118,101,135,24.04163056,4.54,4.54,4.21,4.87,0.46,0.76153,0.76153,0.71206,0.811,0.069961145,1.11092,1.11092,1.07284,1.149,0.053853252,0.03783,0.03783,0,0.07566,0.053499699,0.30979,0.30979,0.30658,0.313,0.004539626,0.0828,0.0828,0.0306,0.135,0.073821948,0.128295,0.128295,0.074,0.18259,0.076784725,2017,2017,2015,2019,2.828427125
Egypt,123.6,122,104,137,13.31540461,4.38,4.36,4.17,4.74,0.23,0.924690361,0.913,0.8818,0.989701807,0.046460163,0.861320278,0.997471392,0.49813,1.039,0.235517815,0.571093452,0.553,0.520187259,0.644,0.056670034,0.239292031,0.241,0.17288,0.312,0.059405796,0.091110273,0.10393,0.06324,0.114381365,0.024064652,0.107320289,0.11291,0.076,0.128631443,0.022862295,2017,2017,2015,2019,1.58113883
Sudan,129.5,131.5,118,137,8.185352772,4.24,4.14,4.14,4.55,0.21,0.604069173,0.617845,0.52107,0.659516692,0.05964569,1.071832142,1.114024285,0.81928,1.24,0.196313594,0.317322706,0.304795,0.290920824,0.36878,0.035414796,0.032951464,0.015497928,0,0.10081,0.045826979,0.10470938,0.09511876,0.082,0.1466,0.028925605,0.171926863,0.181543725,0.134,0.19062,0.025651808,2016.5,2016.5,2015,2018,1.290994449
Mali,129.2,128,118,138,7.791020472,4.22,4.19,4,4.45,0.2,0.360968099,0.37,0.26074,0.476180494,0.081066786,1.10361268,1.105,0.86333,1.281473398,0.166422124,0.199733135,0.169365674,0.152,0.308,0.063785844,0.332924749,0.327,0.27544,0.38857,0.045523029,0.094592049,0.104970247,0.052,0.13647,0.0387354,0.17479484,0.183354199,0.139,0.21064,0.028671729,2017,2017,2015,2019,1.58113883
Ukraine,127.4,132,111,138,10.64424727,4.31,4.32,4.1,4.68,0.24,0.83591839,0.82,0.793,0.894651949,0.045464931,1.282889514,1.39,1.01413,1.413,0.172855354,0.63681679,0.609,0.575903952,0.739,0.068656186,0.168758955,0.163,0.122974776,0.25123,0.051550392,0.018385894,0.01829,0.01,0.02961,0.008252684,0.200088293,0.187,0.15275,0.270061463,0.043279063,2017,2017,2015,2019,1.58113883
Zambia,114,116,85,138,20.03746491,4.58,4.51,4.11,5.13,0.39,0.571761356,0.578,0.47038,0.636406779,0.063663516,0.93238146,1.003187299,0.6376,1.058,0.173990976,0.302761179,0.295,0.23573,0.426,0.073776524,0.462098698,0.461603492,0.42662,0.503,0.033852496,0.09733671,0.087,0.07821355,0.12468,0.020976358,0.218430029,0.221,0.17866,0.249580145,0.031152787,2017,2017,2015,2019,1.58113883
Congo (Brazzaville),121.4,124,103,139,13.61249426,4.38,4.29,3.99,4.81,0.32,0.72274285,0.682,0.673,0.808964252,0.062946814,0.716586873,0.799,0.47799,0.832044363,0.149036021,0.346717487,0.31051,0.28212,0.508,0.093181798,0.423013174,0.41466,0.372,0.514,0.057006317,0.092801627,0.093,0.077,0.11686,0.016005453,0.112300426,0.12077,0.091,0.12388,0.014017455,2017,2017,2015,2019,1.58113883
India,126,122,117,140,10.07472084,4.3,4.32,4.02,4.57,0.21,0.73071425,0.74036,0.64499,0.792221248,0.054564097,0.588116519,0.747,0.29247,0.765,0.231393032,0.498925523,0.485,0.45091,0.588,0.056110465,0.461539401,0.469987005,0.39786,0.539,0.061033584,0.088473377,0.08722,0.08492,0.093,0.00390003,0.223713698,0.231538489,0.172,0.26475,0.037708155,2017,2017,2015,2019,1.58113883
Angola,140,140.5,137,142,2.160246899,3.87,3.83,3.8,4.03,0.11,0.798379545,0.802545,0.73,0.85842818,0.064093976,0.93836799,0.98240598,0.66366,1.125,0.219047631,0.133902166,0.10837,0.049868666,0.269,0.105596686,0.0274325,0.002945,0,0.10384,0.051013951,0.071570084,0.070470168,0.061,0.08434,0.009632265,0.105269123,0.109318245,0.079,0.12344,0.020917158,2016.5,2016.5,2015,2018,1.290994449
Comoros,140,140,138,142,2,3.96,3.96,3.96,3.97,0.01,0.262716667,0.274,0.23906,0.27509,0.020494522,0.717653333,0.757,0.60323,0.79273,0.100691026,0.38932,0.36315,0.29981,0.505,0.105068481,0.175096667,0.15412,0.142,0.22917,0.047219357,0.15379,0.18437,0.078,0.199,0.066042428,0.210703333,0.1827,0.17441,0.275,0.05583661,2016.666667,2016,2015,2019,2.081665999
Senegal,121,115,109,142,13.87443693,4.39,4.53,3.9,4.68,0.33,0.433285804,0.44314,0.36498,0.479309022,0.042363478,1.036208382,1.117,0.77416,1.179691911,0.165037549,0.450666571,0.433,0.40457,0.571,0.068658942,0.350840453,0.36772,0.292,0.406,0.047816402,0.09868009,0.10713,0.072,0.11681,0.020443383,0.174785779,0.183468893,0.138,0.20843,0.028718541,2017,2017,2015,2019,1.58113883
Gabon,120.4,118,103,143,17.8409641,4.41,4.47,3.9,4.8,0.39,1.101992048,1.06024,1.036,1.198210239,0.071719397,1.026316043,1.155620217,0.72368,1.183,0.204000369,0.422939718,0.404,0.3494,0.571,0.089733862,0.312689715,0.312328577,0.28098,0.356,0.028442703,0.077419357,0.076046787,0.052,0.11091,0.025096897,0.049889076,0.043785378,0.032,0.06822,0.014985677,2017,2017,2015,2019,1.58113883
Lesotho,130.25,140,97,144,22.26170104,4.08,3.81,3.8,4.9,0.55,0.464367812,0.4805,0.37545,0.521021247,0.062665737,1.153781297,1.179547593,1.04103,1.215,0.077483099,0.08078,0.07756,0,0.168,0.068696484,0.372582825,0.37483065,0.31767,0.423,0.044976417,0.11228366,0.11554732,0.093,0.12504,0.01391706,0.136094318,0.136748636,0.107,0.16388,0.028754081,2017.25,2017.5,2015,2019,1.707825128
Niger,133.8,135,114,144,11.88276062,4.1,4.03,3.85,4.63,0.32,0.126605066,0.1327,0.0694,0.161925331,0.034301053,0.802395001,0.774,0.6053,0.993025005,0.142347361,0.282839001,0.268505007,0.221,0.366,0.053847109,0.385797739,0.38041,0.318,0.47692,0.057958226,0.133544589,0.138572946,0.099,0.17176,0.032388287,0.199048769,0.19387,0.175,0.228673846,0.020726385,2017,2017,2015,2019,1.58113883
Cambodia,128.6,129,109,145,14.63898904,4.21,4.17,3.82,4.7,0.37,0.548237019,0.55604,0.46038,0.601765096,0.053172621,0.876219668,1.006238341,0.5375,1.122,0.273324845,0.511972681,0.457,0.42494,0.637,0.103462249,0.637871165,0.633375823,0.58852,0.696,0.042640538,0.06969919,0.068105951,0.062,0.08092,0.00737364,0.336180594,0.385922968,0.232,0.40359,0.084879267,2017,2017,2015,2019,1.58113883
Uganda,138,136,133,145,4.898979486,4.02,4.08,3.74,4.19,0.19,0.318728143,0.332,0.21102,0.381430715,0.064283709,1.066325548,1.09,0.90981,1.13299,0.091571593,0.286498521,0.237,0.19625,0.443,0.103133084,0.428597191,0.443185955,0.356,0.45727,0.041310785,0.063031944,0.061,0.057069719,0.07267,0.005993505,0.279689211,0.27102,0.252,0.325766057,0.029636654,2017,2017,2015,2019,1.58113883
Zimbabwe,134.8,138,115,146,12.51798706,4.01,3.88,3.66,4.61,0.4,0.344051307,0.357,0.271,0.375846535,0.041944239,1.007727182,1.083095908,0.71478,1.114,0.166479765,0.274402751,0.248,0.1595,0.433,0.1103658,0.323256841,0.336384207,0.25429,0.406,0.06591461,0.089997076,0.089,0.08079,0.099,0.007300534,0.169408699,0.18503,0.132,0.18987,0.026412322,2017,2017,2015,2019,1.58113883
Botswana,140.2,142,128,148,8.01249025,3.83,3.77,3.49,4.33,0.34,1.053580831,1.041,0.99355,1.122094154,0.053500013,1.107410999,1.145,0.89186,1.221554995,0.127814114,0.338407102,0.34752,0.04776,0.538,0.180682154,0.490607267,0.49495,0.44089,0.557,0.045769475,0.10460264,0.1,0.092,0.12474,0.012562738,0.07904169,0.099348448,0.025,0.12425,0.043018848,2017,2017,2015,2019,1.58113883
Haiti,139,145,119,148,12.1449578,3.87,3.6,3.58,4.52,0.41,0.322862053,0.323,0.26673,0.368610263,0.037528105,0.616215964,0.688,0.29561,0.74302,0.183145702,0.335746226,0.289,0.27494,0.449,0.078902332,0.089267971,0.030369857,0.025,0.24425,0.095669817,0.12607643,0.11,0.09987215,0.17175,0.031095158,0.448330756,0.46187,0.392,0.489203781,0.041424262,2017,2017,2015,2019,1.58113883
Madagascar,145,144,143,148,2.34520788,3.75,3.7,3.64,3.93,0.12,0.265917739,0.274,0.20824,0.305808693,0.036000859,0.773236074,0.908,0.46115,0.916,0.204054373,0.434104662,0.402,0.37109,0.555,0.077749947,0.177375353,0.189196765,0.13684,0.221,0.03448952,0.062706395,0.067231975,0.041,0.08124,0.017143656,0.193292506,0.20873253,0.155,0.2204,0.029288025,2017,2017,2015,2019,1.58113883
Chad,138.6,137,131,149,7.765307463,4,3.94,3.67,4.35,0.31,0.382016597,0.358,0.34193,0.438012987,0.044593379,0.803851174,0.766,0.63178,0.953855872,0.128502164,0.094894943,0.053,0.03824,0.192,0.071295374,0.177684405,0.174,0.12807,0.23501,0.039130612,0.058758376,0.053581882,0.04952,0.078,0.01140998,0.19312877,0.18667,0.181,0.21611385,0.014376854,2017,2017,2015,2019,1.58113883
Liberia,140.8,148,116,150,14.30734077,3.84,3.62,3.5,4.57,0.45,0.089260359,0.076,0.0712,0.119041793,0.022193321,0.789065587,0.858,0.50353,0.922,0.166472335,0.302715639,0.267,0.229918197,0.443,0.09062167,0.332934236,0.332881182,0.25748,0.419,0.064696598,0.04255765,0.038948249,0.03,0.06232,0.013116508,0.237959977,0.24063,0.206,0.266549885,0.02180934,2017,2017,2015,2019,1.58113883
Malawi,139.2,136,131,150,8.757853618,3.88,3.97,3.41,4.29,0.37,0.142714408,0.186,0.01604,0.233442038,0.088849767,0.434381766,0.512568831,0.147,0.56,0.170572425,0.327069917,0.306,0.22562,0.495,0.10024673,0.457150931,0.443,0.4143,0.531,0.045534624,0.077424331,0.07564,0.06977,0.089,0.007493533,0.271226094,0.28717047,0.21,0.33128,0.054591779,2017,2017,2015,2019,1.58113883
Guinea,141.6,149,118,151,13.90323703,3.85,3.66,3.51,4.53,0.42,0.273373986,0.24454993,0.17417,0.38,0.085808506,0.637578937,0.791244686,0.3109,0.829,0.234888282,0.241701828,0.211,0.18829,0.375,0.077184174,0.352273503,0.348587513,0.30953,0.394,0.033972542,0.106305524,0.110937618,0.086,0.12139,0.015644531,0.248505018,0.264815092,0.185,0.29914,0.050085968,2017,2017,2015,2019,1.58113883
Ivory Coast,124.8,128,99,151,21.68409555,4.27,4.18,3.66,4.94,0.53,0.546691784,0.55507,0.46534,0.603048921,0.050976679,0.786338006,0.808,0.57576,0.90478003,0.128850208,0.111450434,0.08,0.04476,0.232,0.079915494,0.428399239,0.447706193,0.352,0.46866,0.049483456,0.131516355,0.130061775,0.09,0.17922,0.036674942,0.181253494,0.20123747,0.146,0.20338,0.028681531,2017,2017,2015,2019,1.58113883
Burkina Faso,133.4,134,115,152,15.5980768,4.07,4.03,3.59,4.59,0.43,0.314659543,0.31995,0.25812,0.350227714,0.034486407,0.935740001,1.043280005,0.63054,1.097,0.195071556,0.266812852,0.254,0.21297,0.38,0.067992717,0.32399957,0.324367851,0.255,0.39493,0.050075668,0.122995621,0.12533,0.113,0.12832,0.006439531,0.212772937,0.21747,0.175,0.250864685,0.035796433,2017,2017,2015,2019,1.58113883
Yemen,146.4,147,136,152,6.348228099,3.63,3.59,3.36,4.08,0.29,0.489312689,0.54649,0.287,0.591683447,0.127506719,0.865448449,0.935382247,0.47493,1.163,0.284190528,0.365440183,0.343,0.310080916,0.463,0.065851684,0.244174744,0.244,0.143,0.35571,0.075736242,0.067045485,0.064,0.056767423,0.07854,0.010150779,0.096929042,0.09821,0.083,0.108,0.010019776,2017,2017,2015,2019,1.58113883
Tanzania,150.8,153,146,153,3.193743885,3.47,3.35,3.23,3.78,0.24,0.439777175,0.47155,0.2852,0.511135876,0.088796829,0.939379961,0.991,0.77623,1.041989803,0.108138098,0.396731857,0.381,0.357,0.499,0.058171749,0.386879556,0.390017778,0.3176,0.481,0.066990602,0.083699021,0.066035107,0.05099,0.147,0.03954044,0.311749272,0.31472,0.27,0.354256362,0.038281905,2017,2017,2015,2019,1.58113883
Afghanistan,149.4,153,141,154,6.024948133,3.51,3.58,3.2,3.79,0.23,0.357113444,0.35,0.31982,0.401477218,0.034179979,0.409752665,0.517,0.11037,0.581543326,0.198912083,0.254707356,0.255,0.17344,0.361,0.080216689,0.117923904,0.10617952,0,0.23414,0.087728109,0.058093566,0.06115783,0.025,0.09719,0.028683264,0.267730187,0.311870933,0.158,0.3651,0.088569192,2017,2017,2015,2019,1.58113883
Rwanda,152,152,151,154,1.224744871,3.44,3.47,3.33,3.52,0.07,0.322057179,0.332,0.22208,0.368745893,0.058480553,0.788453405,0.7737,0.61586,0.945707023,0.134443433,0.417542961,0.4,0.31865,0.614,0.119487032,0.581610771,0.581843853,0.5432,0.636,0.036228121,0.473468003,0.455220014,0.411,0.55191,0.055372161,0.226311206,0.22628,0.2,0.252756029,0.019768091,2017,2017,2015,2019,1.58113883
Benin,137.8,143,102,155,21.44061566,3.9,3.66,3.34,4.88,0.63,0.376745082,0.393,0.28665,0.431085408,0.054010807,0.340469969,0.372,0.10419,0.437,0.137215534,0.275262042,0.24,0.209930211,0.397,0.081357579,0.419386555,0.425962776,0.349,0.4845,0.050355049,0.071367803,0.067,0.060929015,0.082,0.009193944,0.186069692,0.1826,0.163,0.207948461,0.018660859,2017,2017,2015,2019,1.58113883
Central African Republic,153.25,155,148,155,3.5,3.13,3.08,2.69,3.68,0.41,0.032125,0.025,0,0.0785,0.033096765,0,0,0,0,0,0.050190671,0.042881343,0.01,0.105,0.044304476,0.322408011,0.287921023,0.225,0.48879,0.115662403,0.053113769,0.047282538,0.035,0.08289,0.022023246,0.243056622,0.236675,0.218,0.280876487,0.026740967,2017.25,2017.5,2015,2019,1.707825128
South Sudan,150,150.5,143,156,6.055300708,3.38,3.42,2.85,3.83,0.43,0.358547156,0.36547,0.306,0.397248626,0.044631606,0.492378282,0.588161564,0.18519,0.608,0.205287075,0.198324001,0.170243002,0.15781,0.295,0.064951346,0.116420609,0.129531218,0.01,0.19662,0.078984707,0.110985878,0.111396757,0.091,0.13015,0.016586003,0.242665204,0.241495,0.202,0.285670817,0.037049653,2017.5,2017.5,2016,2019,1.290994449
Syria,152.6,152,149,156,3.286335345,3.29,3.46,3.01,3.46,0.23,0.699108627,0.689,0.619,0.777153134,0.063662724,0.355930521,0.382,0.14866,0.47489,0.122365133,0.566280668,0.539,0.44,0.72193,0.11101011,0.081699889,0.081539445,0.013,0.15684,0.051389887,0.159547426,0.151347131,0.141,0.18906,0.020538747,0.431284746,0.47179,0.331,0.493663728,0.073179544,2017,2017,2015,2019,1.58113883
Burundi,153.8,156,145,157,5.069516742,3.08,2.91,2.9,3.78,0.39,0.062446514,0.06831,0.0153,0.091622569,0.032381344,0.470816717,0.447,0.23442,0.629793584,0.165179181,0.211608158,0.15747,0.145,0.38,0.099342402,0.101320151,0.065,0.0432,0.22,0.072098415,0.106991589,0.09419,0.076,0.18,0.041883817,0.185921037,0.19727,0.149,0.204435185,0.023566118,2017,2017,2015,2019,1.58113883
Togo,148.2,150,139,158,8.871302046,3.54,3.49,2.84,4.09,0.51,0.265870943,0.275,0.20868,0.305444717,0.036067082,0.323566506,0.43188253,0,0.572,0.242121923,0.288529114,0.253,0.247105569,0.41,0.069613059,0.363747228,0.36453,0.293,0.434,0.05125258,0.100969003,0.101,0.085,0.11587,0.011676796,0.17477523,0.17517,0.158,0.196896151,0.014485284,2017,2017,2015,2019,1.58113883
