,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Score,Happiness Score,Happiness Score,Happiness Score,Happiness Score,Economy (GDP per Capita),Economy (GDP per Capita),Economy (GDP per Capita),Economy (GDP per Capita),Economy (GDP per Capita),Family,Family,Family,Family,Family,Health (Life Expectancy),Health (Life Expectancy),Health (Life Expectancy),Health (Life Expectancy),Health (Life Expectancy),Freedom,Freedom,Freedom,Freedom,Freedom,Trust (Government Corruption),Trust (Government Corruption),Trust (Government Corruption),Trust (Government Corruption),Trust (Government Corruption),Generosity,Generosity,Generosity,Generosity,Generosity,year,year,year,year,year
Country,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std
Czech Republic,24.4,23,20,31,4.5607017,6.65,6.61,6.51,6.85,0.13,1.26856247,1.269,1.17898,1.352682352,0.067107007,1.324849043,1.433885217,1.00793,1.489,0.211889185,0.827406801,0.84483,0.754444003,0.92,0.068845392,0.473753235,0.46364,0.41418,0.543,0.047493764,0.034650585,0.036,0.02652,0.03986,0.005010674,0.080851352,0.088106759,0.046,0.10686,0.025336038,2017,2017,2015,2019,1.58113883
Panama,27.6,27,25,31,2.792848009,6.54,6.45,6.32,6.79,0.2,1.148267687,1.149,1.06353,1.233748436,0.065218518,1.28816251,1.373192549,0.98912,1.442,0.194173339,0.776023227,0.759,0.706156135,0.91,0.08385174,0.538879367,0.5421,0.48927,0.597,0.040302609,0.072982785,0.070983924,0.054,0.0927,0.015646613,0.186139388,0.210556939,0.109,0.24434,0.064749791,2017,2017,2015,2019,1.58113883
Brazil,23,22,16,32,6.92820323,6.66,6.64,6.3,6.98,0.31,1.033226642,1.004,0.98124,1.10735321,0.059648664,1.323311201,1.431306005,1.03938,1.474,0.184763652,0.680944471,0.675,0.61415,0.802,0.076739896,0.443038749,0.437453747,0.39,0.493,0.047688091,0.120392552,0.111092761,0.086,0.17521,0.037999566,0.134969979,0.14574,0.099,0.162349895,0.028733158,2017,2017,2015,2019,1.58113883
France,27.8,29,23,32,4.086563348,6.52,6.49,6.44,6.59,0.07,1.344116692,1.324,1.27778,1.430923462,0.066201365,1.31824737,1.387776852,1.00508,1.472,0.194761068,0.91624117,0.908,0.83795,1.045,0.08485442,0.488390423,0.470222116,0.436,0.55011,0.045830687,0.183208486,0.17808,0.172502428,0.20646,0.013542153,0.116736461,0.1216,0.098,0.129762307,0.01245624,2017,2017,2015,2019,1.58113883
Taiwan Province of China,33,33,33,33,,6.42,6.42,6.42,6.42,,1.433626533,1.433626533,1.433626533,1.433626533,,1.384565353,1.384565353,1.384565353,1.384565353,,0.793984234,0.793984234,0.793984234,0.793984234,,0.361466587,0.361466587,0.361466587,0.361466587,,0.063829236,0.063829236,0.063829236,0.063829236,,0.258360475,0.258360475,0.258360475,0.258360475,,2017,2017,2017,2017,
Uruguay,30.6,31,28,33,2.073644135,6.43,6.45,6.29,6.55,0.1,1.135557939,1.124,1.06166,1.217559695,0.063731992,1.315311574,1.412227869,1.03143,1.465,0.189972319,0.782929365,0.771,0.719216824,0.891,0.071477265,0.574978451,0.579392254,0.523,0.625,0.041865405,0.188516375,0.178061873,0.15,0.24558,0.040677921,0.169011386,0.175096929,0.127,0.2324,0.043230098,2017,2017,2015,2019,1.58113883
Singapore,28,26,22,34,5.656854249,6.54,6.57,6.26,6.8,0.24,1.592137534,1.572,1.52186,1.69227767,0.074518016,1.231078873,1.353814363,0.86758,1.463,0.271063845,1.014186479,1.008,0.94719,1.141,0.078924324,0.553412114,0.549840569,0.4877,0.631,0.051176296,0.467255557,0.464307785,0.453,0.4921,0.015339234,0.303215196,0.31105,0.261,0.345965981,0.036323306,2017,2017,2015,2019,1.58113883
Qatar,32,32,28,36,3.535533906,6.42,6.38,6.37,6.61,0.11,1.743691137,1.69042,1.649,1.870765686,0.097478397,1.169707376,1.27429688,0.87964,1.313,0.18820089,0.768731618,0.748,0.710098088,0.871,0.066702318,0.604064197,0.604130983,0.555,0.654,0.043619206,0.355973851,0.439299256,0.167,0.52208,0.173179884,0.291216774,0.32388,0.22,0.33047387,0.050277278,2017,2017,2015,2019,1.58113883
Malta,27.6,27,22,37,6.268971207,6.53,6.53,6.3,6.73,0.16,1.285699968,1.3,1.2074,1.343279839,0.050957341,1.386846333,1.488411665,1.09879,1.525,0.185271499,0.879060847,0.884,0.80315,0.999,0.076650128,0.59027141,0.588767052,0.54994,0.645,0.037058325,0.151493214,0.151,0.13586,0.17554,0.015128479,0.481124115,0.51752,0.375,0.574730575,0.09874352,2017,2017,2015,2019,1.58113883
Saudi Arabia,33.4,34,28,37,3.361547263,6.38,6.38,6.34,6.41,0.02,1.439512711,1.403,1.379,1.530623555,0.066601296,1.18137952,1.286677599,0.84829,1.357,0.214919499,0.666213666,0.633,0.59014833,0.795,0.089167818,0.417454114,0.439,0.31048,0.509,0.075510001,0.231550451,0.273432255,0.127,0.32524,0.094959472,0.123449203,0.13706,0.08,0.15457,0.032685194,2017,2017,2015,2019,1.58113883
Spain,34.6,36,30,37,2.792848009,6.35,6.35,6.31,6.4,0.04,1.298807573,1.286,1.23011,1.384397864,0.064043546,1.39946618,1.484,1.12945,1.538,0.17619311,0.95010812,0.95562,0.87896,1.062,0.073438777,0.410948246,0.40878123,0.362,0.45951,0.043205706,0.069852819,0.070914097,0.06137,0.079,0.007218805,0.168810714,0.17665,0.142,0.190133572,0.020408724,2017,2017,2015,2019,1.58113883
Taiwan,30.75,30,25,38,6.291528696,6.39,6.41,6.3,6.45,0.07,1.3553175,1.3665,1.29098,1.39729,0.04529754,1.2171025,1.253085,0.92624,1.436,0.256712826,0.8604875,0.86615,0.79565,0.914,0.049325659,0.3725425,0.3742,0.32377,0.418,0.04292286,0.0806475,0.079645,0.0663,0.097,0.012658029,0.2254275,0.24788,0.151,0.25495,0.049961349,2017,2017,2015,2019,1.825741858
Trinidad & Tobago,38.5,38.5,38,39,0.707106781,6.19,6.19,6.19,6.19,0,1.227,1.227,1.223,1.231,0.005656854,1.4845,1.4845,1.477,1.492,0.010606602,0.6385,0.6385,0.564,0.713,0.10535891,0.532,0.532,0.489,0.575,0.060811183,0.0175,0.0175,0.016,0.019,0.00212132,0.178,0.178,0.171,0.185,0.009899495,2018.5,2018.5,2018,2019,0.707106781
Suriname,40,40,40,40,0,6.27,6.27,6.27,6.27,0,1.0461,1.0461,0.99534,1.09686,0.07178548,0.87533,0.87533,0.77866,0.972,0.136712025,0.558765,0.558765,0.50933,0.6082,0.069911647,0.559455,0.559455,0.52234,0.59657,0.052488536,0.131625,0.131625,0.12692,0.13633,0.006653875,0.16828,0.16828,0.16665,0.16991,0.002305168,2015.5,2015.5,2015,2016,0.707106781
Colombia,36,36,31,43,4.582575695,6.34,6.36,6.13,6.48,0.15,0.992910465,0.985,0.91861,1.070622325,0.059381899,1.302610587,1.402182937,1.02169,1.439,0.175259212,0.671677585,0.635,0.595027924,0.841,0.102339095,0.492099483,0.477487415,0.44735,0.53466,0.038823523,0.044971748,0.046668742,0.034,0.05399,0.008352257,0.137456895,0.149014473,0.099,0.18401,0.037457281,2017,2017,2015,2019,1.58113883
Guatemala,33.6,30,27,43,6.985699679,6.34,6.38,6.12,6.45,0.13,0.806614389,0.8,0.74553,0.872001946,0.048699389,1.141467039,1.255585194,0.87119,1.269,0.17883908,0.615775998,0.608,0.54023999,0.746,0.085466752,0.550286124,0.535,0.50379,0.604,0.039912957,0.081590656,0.078,0.071,0.09472,0.009298894,0.240091679,0.27489,0.175,0.28808,0.057806135,2017,2017,2015,2019,1.58113883
Trinidad and Tobago,40.66666667,41,38,43,2.516611478,6.17,6.17,6.17,6.17,0,1.2996353,1.32572,1.21183,1.361355901,0.078101264,1.18315284,1.18354,0.98569,1.380228519,0.197269545,0.553631097,0.52608,0.519983292,0.61483,0.053087397,0.520666914,0.518630743,0.48453,0.55884,0.037196821,0.010924939,0.0114,0.008964816,0.01241,0.001771041,0.321028821,0.31935,0.31844,0.325296462,0.003723788,2016,2016,2015,2017,1
Slovakia,41.4,40,38,45,3.361547263,6.11,6.1,6,6.2,0.08,1.246006712,1.246,1.16891,1.325393558,0.060580355,1.379745848,1.504,1.08268,1.537,0.19758914,0.772484582,0.776,0.70367,0.881,0.071356645,0.307047493,0.31751,0.23391,0.354,0.046140129,0.02319817,0.024210852,0.014,0.03431,0.009124785,0.136568896,0.136544481,0.118,0.16893,0.02023413,2017,2017,2015,2019,1.58113883
El Salvador,41.6,42,35,46,4.393176527,6.12,6.13,6,6.25,0.1,0.829604899,0.806,0.76454,0.909784496,0.060065562,1.097989018,1.182125092,0.80975,1.242,0.18296781,0.659477711,0.639,0.596,0.789,0.079956205,0.419928506,0.43,0.37269,0.461,0.033341138,0.093974192,0.08998096,0.074,0.11776,0.01783132,0.086389597,0.08877,0.065,0.10692,0.01576784,2017,2017,2015,2019,1.58113883
Argentina,31.2,29,24,47,9.148770409,6.46,6.57,6.09,6.65,0.23,1.111035093,1.092,1.05351,1.185295463,0.055361644,1.330960229,1.432,1.06612,1.468,0.171727861,0.760895417,0.744,0.695137084,0.881,0.07713108,0.481619841,0.471,0.42284,0.57,0.056039319,0.064307978,0.059739888,0.05,0.08484,0.014389766,0.092371412,0.109457061,0.062,0.11451,0.026013513,2017,2017,2015,2019,1.58113883
Bahrain,42.4,42,37,49,4.335896678,6.11,6.11,5.96,6.22,0.1,1.390482452,1.362,1.32376,1.488412261,0.070858317,1.243464092,1.323110461,0.94397,1.368,0.178399585,0.725250607,0.698,0.653133035,0.871,0.0899028,0.519083384,0.536,0.45492,0.594,0.055638852,0.210752434,0.25704217,0.11,0.306,0.088419926,0.203151697,0.17362,0.17147,0.255,0.042074966,2017,2017,2015,2019,1.58113883
Uzbekistan,45,44,41,49,3.082207001,6.05,6,5.97,6.17,0.09,0.723758218,0.73591,0.63244,0.786441088,0.056766361,1.43409983,1.529,1.1681,1.584,0.176210819,0.591724526,0.59772,0.498272628,0.756,0.104939145,0.655987733,0.65821,0.60848,0.724,0.043350577,0.267423645,0.259,0.24,0.30826,0.028196865,0.327522729,0.328,0.22837,0.415983647,0.066960787,2017,2017,2015,2019,1.58113883
