Country,Happy,Economy,Family,Health,Freedom,Generous,Trust ,Year
Burkina Faso,4.418930054,7.375465393,0.705393493,52.40000153,0.659102738,0.012528297,0.692723989,2015
Burkina Faso,4.205634594,7.403866291,0.764401138,52.90000153,0.644681513,0.00834989,0.720542431,2016
Burkina Faso,4.646891117,7.440206528,0.784761369,53.40000153,0.613774717,-0.054843456,0.727451324,2017
Burkina Faso,4.92723608,7.47052002,0.664859474,53.90000153,0.720743477,-0.004381241,0.757398605,2018
Burkina Faso,4.768700123,7.46854496,0.712943614,53.88945389,0.665563583,-0.019080516,0.739795029,2019
Burundi,3.775283098,6.541032791,0.484715223,53.40000153,0.646398604,-0.019334173,0.598607659,2018
Burundi,3.775300026,6.492642403,0.490325719,53.40000153,0.626350224,-0.017551597,0.606934547,2019
Cambodia,4.162164688,8.098932266,0.728610277,60.40000153,0.956319809,0.208363369,0.825130224,2015
Cambodia,4.461259365,8.150504112,0.745901227,60.79999924,0.957821488,0.074233428,0.840416849,2016
Cambodia,4.585842133,8.201130867,0.765094936,61.20000076,0.963774681,0.085995324,0.821022928,2017
Cambodia,5.121837616,8.253352165,0.794605374,61.59999847,0.958304822,0.033786766,,2018
Cambodia,4.848400116,8.249890327,0.773080647,61.52996826,0.959704638,0.051911179,0.822769046,2019
Cameroon,5.037964821,8.098358154,0.646312475,50.29999924,0.791428566,0.045905765,0.868049026,2015
Cameroon,4.816232204,8.115765572,0.659299791,51.09999847,0.71250701,-0.006847957,0.87945056,2016
Cameroon,5.07405138,8.121161461,0.69459641,51.90000153,0.766945004,-0.031570964,0.84358561,2017
Cameroon,5.250737667,8.133470535,0.676825225,52.70000076,0.816304982,0.032506917,0.884441614,2018
Cameroon,5.084899902,8.118647575,0.700386405,52.7049408,0.763051808,-0.00149645,0.851336598,2019
Canada,7.412772655,10.67242527,0.939067066,73,0.931468964,0.245131716,0.427152246,2015
Canada,7.244845867,10.67448139,0.924392521,73.19999695,0.912423909,0.203222767,0.385090441,2016
Canada,7.414868355,10.69234467,0.93374896,73.40000153,0.945145011,0.155016169,0.362034321,2017
