,Country,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],Workforce Ratio Five Year Average,Workforce Ratio Five Year Median,Workforce Ratio Five Year Max,Workforce Ratio Five Year Min,Workforce Ratio Five Year STD
60,Early-demographic dividend,45.28404961,45.47302002,45.6624339,45.97362544,46.02706912,45.68403962,45.6624339,46.02706912,45.28404961,0.318793535
61,East Asia & Pacific,77.71580547,77.68475708,77.60404076,77.6540029,77.4378821,77.61929766,77.6540029,77.71580547,77.4378821,0.109484617
62,East Asia & Pacific (excluding high income),78.25132676,78.14524883,77.96586992,77.92039164,77.66206371,77.98898017,77.96586992,78.25132676,77.66206371,0.226582474
63,East Asia & Pacific (IDA & IBRD),78.16828044,78.06106983,77.87988204,77.83445802,77.57315317,77.9033687,77.87988204,78.16828044,77.57315317,0.228796021
64,Ecuador,64.34204462,68.54102402,69.10955673,67.94103764,68.10746862,67.60822633,68.10746862,69.10955673,64.34204462,1.880960771
65,"Egypt, Arab Rep.",30.6104358,31.3601247,30.75524187,30.76770946,30.95345626,30.88939362,30.76770946,31.3601247,30.6104358,0.289962482
66,El Salvador,59.98405813,60.69642346,59.80383223,59.69649476,59.8362833,60.00341838,59.8362833,60.69642346,59.69649476,0.400812218
67,Equatorial Guinea,81.01025088,81.34624055,81.68527418,81.81790672,81.66475798,81.50488606,81.66475798,81.81790672,81.01025088,0.326310128
68,Eritrea,83.15374825,83.33953938,83.44271049,83.55279725,83.6032015,83.41839937,83.44271049,83.6032015,83.15374825,0.179627922
69,Estonia,80.54405038,79.91509147,79.96585839,80.46386062,80.41628913,80.26103,80.41628913,80.54405038,79.91509147,0.296709428
70,Eswatini,83.34900768,84.51868596,85.15192236,85.45914349,85.46495504,84.78874291,85.15192236,85.46495504,83.34900768,0.892239792
71,Ethiopia,84.23610166,84.64585405,85.07608851,85.49522783,85.64049238,85.01875289,85.07608851,85.64049238,84.23610166,0.584908589
72,Euro area,79.85360357,80.27112899,80.42580532,80.56377278,80.77859069,80.37858027,80.42580532,80.77859069,79.85360357,0.347735934
73,Europe & Central Asia,76.17652785,76.29768781,76.37539075,76.48745538,76.51851716,76.37111579,76.37539075,76.51851716,76.17652785,0.140121799
74,Europe & Central Asia (excluding high income),71.07724862,70.93813643,70.79790086,70.82930825,70.64423282,70.8573654,70.82930825,71.07724862,70.64423282,0.161726097
75,Europe & Central Asia (IDA & IBRD),71.43231785,71.25440288,71.14820475,71.17718243,71.00035923,71.20249343,71.17718243,71.43231785,71.00035923,0.158082255
76,European Union,79.13329483,79.42004942,79.55892488,79.68426744,79.86049989,79.53140729,79.55892488,79.86049989,79.13329483,0.275372243
78,Fiji,52.03592958,49.96764143,49.97531952,49.98826653,50.31318818,50.45606905,49.98826653,52.03592958,49.96764143,0.895111039
79,Finland,89.1508845,88.37882273,88.18513091,88.44671103,88.48071762,88.52845336,88.44671103,89.1508845,88.18513091,0.366278809
80,Fragile and conflict affected situations,71.09955455,71.00288221,70.96885643,71.15140046,71.08504195,71.06154712,71.08504195,71.15140046,70.96885643,0.074335944
81,France,83.73865881,84.0820242,83.88065452,84.43448268,84.71939439,84.17104292,84.0820242,84.71939439,83.73865881,0.402894408
82,French Polynesia,77.89547965,78.12611211,78.16004308,78.33775541,78.64181391,78.23224083,78.16004308,78.64181391,77.89547965,0.277834189
83,Gabon,71.18893333,70.73538049,70.3002056,69.9544485,70.39283368,70.51436032,70.39283368,71.18893333,69.9544485,0.468516509
84,"Gambia, The",74.69897789,74.72870237,74.88259792,75.12859207,75.27541521,74.94285709,74.88259792,75.27541521,74.69897789,0.252023244
85,Georgia,72.99331328,71.04521854,71.07571076,71.11237947,71.03202324,71.45172906,71.07571076,72.99331328,71.03202324,0.862327315
86,Germany,82.21952871,82.67498257,82.9722013,82.85950124,83.03913393,82.75306955,82.85950124,83.03913393,82.21952871,0.328611725
87,Ghana,87.64922475,87.89420085,88.28144664,88.66445236,88.50760546,88.19938601,88.28144664,88.66445236,87.64922475,0.422443866
89,Greece,74.81606698,75.24603775,74.61728184,73.72861479,73.88547778,74.45869583,74.61728184,75.24603775,73.72861479,0.639212058
92,Guam,69.34997723,69.22926301,69.02413626,68.84274767,68.67056317,69.02333747,69.02413626,69.34997723,68.67056317,0.276659485
93,Guatemala,45.69617725,47.84124726,45.96776224,46.22466893,46.22618669,46.39120847,46.22466893,47.84124726,45.69617725,0.839636112
94,Guinea,101.0750611,102.1134708,103.23299,104.1735985,104.1425121,102.9475265,103.23299,104.1735985,101.0750611,1.342991821
95,Guinea-Bissau,83.20814982,83.28913309,83.41375884,83.57248705,83.70309993,83.43732575,83.41375884,83.70309993,83.20814982,0.202449106
96,Guyana,60.52236823,62.02883717,63.54071511,63.86876017,64.17285198,62.82670653,63.54071511,64.17285198,60.52236823,1.529245086
97,Haiti,84.99951158,84.95957209,84.87537662,84.88540679,84.99409806,84.94279303,84.95957209,84.99951158,84.87537662,0.059095029
98,Heavily indebted poor countries (HIPC),81.46484012,81.86074971,82.20827295,82.65781208,82.68267235,82.17486944,82.20827295,82.68267235,81.46484012,0.523217456
99,High income,77.04223875,77.37726661,77.79167932,78.08992666,78.1479786,77.68981799,77.79167932,78.1479786,77.04223875,0.473661551
100,Honduras,56.65326058,56.88357494,55.03407269,60.30456028,60.50135386,57.87536447,56.88357494,60.50135386,55.03407269,2.415933356
101,"Hong Kong SAR, China",79.2101468,79.37367733,79.79375428,79.94223767,79.96800055,79.65756333,79.79375428,79.96800055,79.2101468,0.345228741
102,Hungary,74.56699239,74.26452608,73.88288292,73.71920819,73.99508876,74.08573967,73.99508876,74.56699239,73.71920819,0.334395924
103,IBRD only,62.68263895,62.59801989,62.50944173,62.49049301,62.20706658,62.49753203,62.50944173,62.68263895,62.20706658,0.179529906
104,Iceland,90.30241802,88.88916382,89.31508814,89.34391349,89.42379556,89.45487581,89.34391349,90.30241802,88.88916382,0.517488421
105,IDA & IBRD total,64.18397975,64.18104042,64.21067733,64.2792181,64.11314025,64.19361117,64.18397975,64.2792181,64.11314025,0.059887723
106,IDA blend,63.15014484,62.76000651,62.61603755,62.55559452,62.57666108,62.7316889,62.61603755,63.15014484,62.55559452,0.247146389
107,IDA only,72.68772571,73.135847,73.63963972,74.02304069,74.16006374,73.52926337,73.63963972,74.16006374,72.68772571,0.615806415
108,IDA total,69.73687838,69.93511907,70.25708589,70.51334225,70.61905754,70.21229663,70.25708589,70.61905754,69.73687838,0.37447927
109,India,27.86624335,27.61919672,27.39577741,27.19370754,26.97651164,27.41028733,27.39577741,27.86624335,26.97651164,0.348861619
110,Indonesia,61.47429584,62.24134611,63.46848124,64.62031957,64.82261763,63.32541208,63.46848124,64.82261763,61.47429584,1.461224573
111,"Iran, Islamic Rep.",21.21225299,23.52534078,25.02903201,24.6625123,24.52977906,23.79178343,24.52977906,25.02903201,21.21225299,1.545845993
112,Iraq,19.08606834,19.87029115,15.26478947,15.38160912,15.65312407,17.05117643,15.65312407,19.87029115,15.26478947,2.23726265
113,Ireland,79.31803801,80.40539529,81.06929791,81.63170124,81.87376775,80.85964004,81.06929791,81.87376775,79.31803801,1.030941929
115,Israel,84.86073238,85.68603549,85.5489419,86.98059238,87.08331998,86.03192443,85.68603549,87.08331998,84.86073238,0.965661118
116,Italy,67.28935367,67.99553013,68.67793144,68.90354874,69.08655988,68.39058477,68.67793144,69.08655988,67.28935367,0.74142761
117,Jamaica,80.196319,81.94552093,82.83946641,82.31853845,82.49434175,81.95883731,82.31853845,82.83946641,80.196319,1.036617775
118,Japan,70.45862847,71.32665607,72.46148412,73.73752692,73.98709297,72.39427771,72.46148412,73.98709297,70.45862847,1.519247309
119,Jordan,21.86507811,22.00275003,22.20277543,22.45469126,22.569106,22.21888017,22.20277543,22.569106,21.86507811,0.295978251
120,Kazakhstan,84.87472263,84.0543922,83.18175697,83.11657142,82.98137112,83.64176287,83.18175697,84.87472263,82.98137112,0.808393698
121,Kenya,91.04287704,91.53975256,92.35336592,93.21954548,93.25489329,92.28208686,92.35336592,93.25489329,91.04287704,0.989565929
123,"Korea, Dem. People's Rep.",83.96987128,83.91564451,83.83124302,83.75900311,83.67438157,83.8300287,83.83124302,83.96987128,83.67438157,0.118488557
124,"Korea, Rep.",70.79627563,71.19473142,71.80820197,72.4092176,72.35369783,71.71242489,71.80820197,72.4092176,70.79627563,0.709447022
126,Kuwait,57.37699166,57.17592712,57.24989406,56.95609847,56.77278324,57.10633891,57.17592712,57.37699166,56.77278324,0.24110946
127,Kyrgyz Republic,66.05674474,64.0821492,61.22916425,59.46067503,59.11137677,61.988022,61.22916425,66.05674474,59.11137677,3.007420366
128,Lao PDR,95.71852723,95.68952511,95.66414986,95.64327569,95.67527177,95.67814993,95.67527177,95.71852723,95.64327569,0.028196717
129,Late-demographic dividend,78.38676948,78.29476763,78.25191221,78.12841944,77.87295815,78.18696538,78.25191221,78.38676948,77.87295815,0.198613483
130,Latin America & Caribbean,66.61968282,67.12903532,67.6623185,68.2545198,68.32355832,67.59782295,67.6623185,68.32355832,66.61968282,0.731201445
131,Latin America & Caribbean (excluding high income),66.54672367,67.04300187,67.57350551,68.14458528,68.21018762,67.50360079,67.57350551,68.21018762,66.54672367,0.714628911
