Country,Happy,Economy,Family,Health,Freedom,Trust,Generous
Macedonia,5.122000048,0.990346984,1.057893253,0.679694546,0.332788995,0.059004448,0.221355241
Madagascar,3.745400011,0.265917739,0.773236074,0.434104662,0.177375353,0.062706395,0.193292506
Malawi,3.883000006,0.142714408,0.434381766,0.327069917,0.457150931,0.077424331,0.271226094
Malaysia,5.904000022,1.209899084,1.132825207,0.692676886,0.437362996,0.068884142,0.346619786
Mali,4.219000011,0.360968099,1.10361268,0.199733135,0.332924749,0.094592049,0.17479484
Malta,6.53399999,1.285699968,1.386846333,0.879060847,0.59027141,0.151493214,0.481124115
Mauritania,4.354999963,0.568687458,1.078906166,0.342295856,0.132043609,0.134423401,0.177546005
Mauritius,5.706600037,1.110145109,1.148144198,0.698279492,0.519071465,0.055884311,0.31357675
Mexico,6.725200014,1.079360764,1.082994432,0.7715698,0.436726002,0.139488823,0.104416087
Moldova,5.758599964,0.671424126,1.145485114,0.61796304,0.25958581,0.009054257,0.194051825
Mongolia,5.029199985,0.941191173,1.386288247,0.591430697,0.380424794,0.032482458,0.300830846
Montenegro,5.291999998,1.048377807,1.1051353,0.725600935,0.196939811,0.103868839,0.156844205
Morocco,5.172200027,0.806696916,0.676152887,0.650592134,0.391905666,0.081452637,0.041291991
Mozambique,4.601000048,0.179846412,0.946240254,0.190241109,0.461540273,0.157866596,0.236979526
Myanmar,4.383000015,0.47426211,0.977419188,0.452556514,0.497316407,0.186317241,0.723533032
Namibia,4.55699997,0.912576081,1.099022702,0.382015453,0.481610887,0.079281743,0.069020936
Nepal,4.812399979,0.431410038,1.038952652,0.557920156,0.43164919,0.073825109,0.337131233
Netherlands,7.404599971,1.411012927,1.349645845,0.878569225,0.589650898,0.298614365,0.415149966
New Zealand,7.313000026,1.31750921,1.439729025,0.891617941,0.617782426,0.40001534,0.432805025
Nicaragua,6.02740002,0.677277841,1.193653142,0.716673192,0.486024369,0.148355596,0.257110843
Niger,4.104599976,0.126605066,0.802395001,0.282839001,0.385797739,0.133544589,0.199048769
Nigeria,5.127399976,0.715053251,1.009614097,0.112213146,0.380966513,0.033984313,0.230293439
North Cyprus,5.758666648,1.28879377,1.024881126,0.866542413,0.465811208,0.154644451,0.263918568
North Macedonia,5.274,0.983,1.294,0.838,0.345,0.034,0.185
Northern Cyprus,5.7765,1.246,1.2315,0.9755,0.456,0.158,0.185
Norway,7.541000036,1.519380637,1.431074712,0.873333301,0.638048517,0.343950767,0.328990447
Oman,6.853,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542
Pakistan,5.344000011,0.667894706,0.608830138,0.455753557,0.229891052,0.115757613,0.280001204
Palestinian Territories,4.736600019,0.656831846,1.052303432,0.613651395,0.233628212,0.09329252,0.105444635
Panama,6.538000028,1.148267687,1.28816251,0.776023227,0.538879367,0.072982785,0.186139388
Paraguay,5.666600006,0.855223463,1.384032976,0.643036139,0.505969558,0.080289183,0.233102132
Peru,5.728400031,0.965087054,1.105782077,0.703655223,0.444996576,0.044171817,0.119381943
Philippines,5.387399966,0.791437843,1.154569515,0.537901811,0.592040935,0.110338379,0.179432685
Poland,5.98080001,1.209037573,1.331608394,0.76681707,0.506492422,0.054085561,0.139097193
Portugal,5.304600034,1.232031059,1.262012604,0.869532708,0.50608506,0.01677189,0.090240543
Puerto Rico,7.039,1.35943,1.08113,0.77758,0.46823,0.12275,0.22202
Qatar,6.4218,1.743691137,1.169707376,0.768731618,0.604064197,0.355973851,0.291216774
Romania,5.698399962,1.141766782,1.043000258,0.736215662,0.432960748,0.00473358,0.114177984
Russia,5.798599964,1.197139619,1.337812478,0.626303867,0.360078622,0.030974576,0.045722764
Rwanda,3.438599991,0.322057179,0.788453405,0.417542961,0.581610771,0.473468003,0.226311206
Saudi Arabia,6.375999973,1.439512711,1.18137952,0.666213666,0.417454114,0.231550451,0.123449203
Senegal,4.393999969,0.433285804,1.036208382,0.450666571,0.350840453,0.09868009,0.174785779
Serbia,5.339199996,1.000643516,1.166623959,0.716788934,0.227393106,0.038492756,0.178161177
Sierra Leone,4.559200022,0.317502186,0.844369209,0.049512951,0.339589538,0.067783035,0.24737818
Singapore,6.542800005,1.592137534,1.231078873,1.014186479,0.553412114,0.467255557,0.303215196
Slovakia,6.10840001,1.246006712,1.379745848,0.772484582,0.307047493,0.02319817,0.136568896
Slovenia,5.887999979,1.260531191,1.362299764,0.852941646,0.581953162,0.045469796,0.211461819
Somalia,5.060250006,0.005660796,0.616820338,0.152912284,0.600726739,0.286552581,0.261220328
Somaliland Region,5.057,0.25558,0.75862,0.33108,0.3913,0.36794,0.51479
Somaliland region,5.057,0.18847,0.95152,0.43873,0.46582,0.39928,0.50318
South Africa,4.675199999,0.979869741,1.258199726,0.289814014,0.428229347,0.071299899,0.125730476
South Korea,5.885399964,1.314553689,1.046190888,0.948608815,0.248936333,0.065202534,0.186096873
South Sudan,3.38250002,0.358547156,0.492378282,0.198324001,0.116420609,0.110985878,0.242665204
Spain,6.351399976,1.298807573,1.39946618,0.95010812,0.410948246,0.069852819,0.168810714
Sri Lanka,4.392600011,0.937054029,1.141171277,0.691252166,0.532328651,0.068416793,0.383984712
Sudan,4.241749985,0.604069173,1.071832142,0.317322706,0.032951464,0.10470938,0.171926863
Suriname,6.269,1.0461,0.87533,0.558765,0.559455,0.131625,0.16828
Swaziland,4.5395,0.76153,1.11092,0.03783,0.30979,0.0828,0.128295
Sweden,7.319199984,1.403981454,1.368574434,0.898991032,0.61758082,0.397501746,0.33651185
Switzerland,7.511399992,1.472163911,1.417332349,0.928318258,0.620642115,0.379763457,0.277431856
Syria,3.292199979,0.699108627,0.355930521,0.566280668,0.081699889,0.159547426,0.431284746
Taiwan,6.391,1.3553175,1.2171025,0.8604875,0.3725425,0.0806475,0.2254275
Taiwan Province of China,6.421999931,1.433626533,1.384565353,0.793984234,0.361466587,0.063829236,0.258360475
Tajikistan,5.097799978,0.474106727,1.029422655,0.590043025,0.411761341,0.122037429,0.231143529
Tanzania,3.465999995,0.439777175,0.939379961,0.396731857,0.386879556,0.083699021,0.311749272
Thailand,6.286599957,1.050013754,1.312320491,0.713977806,0.565274146,0.029762547,0.491676622
Togo,3.544199977,0.265870943,0.323566506,0.288529114,0.363747228,0.100969003,0.17477523
Trinidad & Tobago,6.192,1.227,1.4845,0.6385,0.532,0.0175,0.178
Trinidad and Tobago,6.168000074,1.2996353,1.18315284,0.553631097,0.520666914,0.010924939,0.321028821
Tunisia,4.728399966,0.937327161,0.762058292,0.69038241,0.245178138,0.07000063,0.050472671
Turkey,5.4154,1.151034875,1.180248635,0.702101122,0.25735612,0.119122316,0.081058608
Turkmenistan,5.582200005,1.047483353,1.365799832,0.518129216,0.415890386,0.183476068,0.217676998
Uganda,4.02019997,0.318728143,1.066325548,0.286498521,0.428597191,0.063031944,0.279689211
Ukraine,4.307200039,0.83591839,1.282889514,0.63681679,0.168758955,0.018385894,0.200088293
United Arab Emirates,6.744199953,1.645226674,1.069860046,0.752195647,0.538813054,0.311982391,0.267826389
United Kingdom,6.910000045,1.337566788,1.367932016,0.881735188,0.503760007,0.244017613,0.424690832
United States,6.998800006,1.455945857,1.328570113,0.821615326,0.506882105,0.140843758,0.355079756
Uruguay,6.431199999,1.135557939,1.315311574,0.782929365,0.574978451,0.188516375,0.169011386
Uzbekistan,6.046200039,0.723758218,1.43409983,0.591724526,0.655987733,0.267423645,0.327522729
Venezuela,5.5314,1.05246824,1.323263519,0.683740845,0.213709425,0.071444225,0.057185926
Vietnam,5.154599976,0.723415515,1.138384266,0.722699798,0.577207118,0.091920647,0.19566361
Yemen,3.625799987,0.489312689,0.865448449,0.365440183,0.244174744,0.067045485,0.096929042
Zambia,4.584399988,0.571761356,0.93238146,0.302761179,0.462098698,0.09733671,0.218430029
Zimbabwe,4.0066,0.344051307,1.007727182,0.274402751,0.323256841,0.089997076,0.169408699
