Country,Gini Index Five Year Average,Workforce Ratio Five Year Average,Happy,Economy,Family,Health,Freedom,Trust,Generous
Denmark,28.36666667,87.71617874,7.645599842,10.77400112,0.955990791,72.40250397,0.9514442679999999,0.168489456,0.06620177599999999
Dominican Republic,44.2,65.15381161,5.6891999239999995,9.664880753,0.882085383,65.80748749,0.8662027720000001,0.755999923,-0.131263286
Ecuador,45.275,67.60822633,5.925199986,9.246058463999999,0.836418986,68.50003815,0.8598289490000001,0.8012151120000001,-0.127014965
Egypt,31.65,30.88939362,4.151400089,9.316541672,0.7354478240000001,61.78015137,0.708354175,0.787726879,-0.196878314
El Salvador,39.3,60.00341838,6.34829998,8.909075737,0.8060922620000001,66.10826111,0.833805263,0.754319906,-0.12107297800000001
Estonia,31.43333333,80.26103,6.0218000410000005,10.34001732,0.9347299929999999,68.60495758,0.87770915,0.623073816,-0.111697771
Eswatini,54.6,84.78874291,4.3081002239999995,9.16267395,0.7702901959999999,51.18823624,0.646822274,0.708263338,-0.19920142
Ethiopia,35.0,85.01875289,4.186200142,7.5093855860000005,0.743307352,58.63959122,0.740795195,0.7536900040000001,0.043377332000000005
Finland,27.2,88.52845336,7.808700085,10.63926697,0.954329729,71.9008255,0.949172199,0.19544458399999998,-0.059482019000000004
France,32.06666667,84.17104292,6.663799762999999,10.58422279,0.937103748,73.80193329,0.8254676459999999,0.583521128,-0.130641967
Gabon,38.0,70.51436032,4.829299927,9.680537224,0.787886858,59.71533966,0.7048292159999999,0.8491509559999999,-0.22226162300000002
Gambia,35.9,74.94285709,4.750599861,7.321814537000001,0.6931687,55.01201629999999,0.733163178,0.6907178159999999,0.34319871700000004
Georgia,36.85,71.45172906,4.672599792,9.226100922,0.629033029,64.49520874,0.8016415240000001,0.665944695,-0.22892037
Germany,31.8,82.75306955,7.075799942000001,10.7328186,0.898874462,72.20201874,0.867371082,0.456422031,0.08017938599999999
Ghana,43.5,88.19938601,5.1479997630000005,8.350645065,0.728601098,57.20398712,0.794796526,0.8479647640000001,0.09417085300000001
Greece,35.13333333,74.45869583,5.514999866,10.13232613,0.8143803479999999,72.40525818,0.5413451189999999,0.8599314090000001,-0.30090737300000003
Honduras,50.825,57.87536447,5.953199862999999,8.424534798,0.821870148,67.19876862,0.870603263,0.801131904,0.086969115
Hungary,30.43333333,74.08573967,6.000400066,10.24924374,0.921934128,67.60997009,0.718964577,0.892916501,-0.19432301800000001
Iceland,26.8,89.45487581,7.504499912000001,10.77255917,0.9746695759999999,73.0,0.948891878,0.7117097379999999,0.246944219
Indonesia,38.55,63.32541208,5.285600185,9.36975193,0.808379889,62.15584946,0.8706144090000001,0.876296401,0.519586504
Iran,40.1,23.79178343,4.672399998,9.813719749,0.6946896909999999,66.00614929,0.647873282,0.714635968,0.11789110300000001
Ireland,32.3,80.85964004,7.093699932000001,11.16097832,0.9420815709999999,72.30078888,0.8869829770000001,0.357184172,0.145784974
Israel,39.0,86.03192443,7.128600121,10.41752529,0.913571239,73.20025635,0.7475805879999999,0.78085506,0.10259372
Italy,35.5,68.39058477,6.38740015,10.48183632,0.8898785709999999,73.60168457,0.66465199,0.873404682,-0.04346099900000001
Kazakhstan,27.16666667,83.64176287,6.0578999520000005,10.11465836,0.934744895,64.60996246,0.811601937,0.7644908429999999,-0.068488635
Kenya,40.8,92.28208686,4.583000183,8.02977562,0.702652037,60.09693146,0.829747558,0.831499159,0.294681519
Latvia,34.7,81.18074591,5.9499998089999995,10.17531967,0.9182885890000001,66.8074646,0.671237648,0.7955800890000001,-0.186888844
Lesotho,44.9,79.06701861,3.6528000830000003,7.9604883189999995,0.7804957029999999,48.00362396,0.738125861,0.857392073,-0.145732045
Liberia,35.3,88.75546188,4.557899952,7.054380417000001,0.70928055,56.09631348,0.735268712,0.8563759329999999,0.04227322
Lithuania,37.7,83.8509184,6.215499877999999,10.34362602,0.926107109,67.29407501,0.747381449,0.809583843,-0.21972529600000001
Luxembourg,33.9,84.27889879,7.2375001910000005,11.45068073,0.9069122079999999,72.59999847,0.90563643,0.367084295,-0.004620588
Malawi,44.7,89.13798145,3.538000107,7.062226295,0.544007301,57.59288788,0.803223193,0.731700778,0.021433279
Malaysia,41.0,65.55032556,5.384300232,10.26251888,0.816509426,67.10215759,0.8946268559999999,0.8393023009999999,0.11472679699999999
Maldives,31.3,51.60920021,5.197599888,9.518632889,0.91316092,70.59999847,0.8539627790000001,0.824211061,0.038085497999999995
Malta,29.23333333,66.31980886,6.772799968999999,10.53383827,0.93037951,72.19999695,0.9249114390000001,0.658547282,0.214965805
Mauritius,36.8,62.05752929999999,6.101299762999999,9.956786156,0.910357833,66.40434265,0.889534533,0.8053430909999999,-0.018318573
Mexico,45.85,55.83520594,6.465000152999999,9.797797203,0.8386654259999999,68.29902649,0.8587092759999999,0.806821585,-0.175266623
Moldova,26.225,87.40943905,5.607500076,8.776714325,0.843313575,65.01301575,0.721609175,0.913314283,-0.037741039
Mongolia,32.5,80.03073544,5.4562001229999995,9.412186623,0.9371424909999999,62.30448532,0.693351328,0.863511205,0.09809386699999999
Montenegro,39.0,75.61822590000001,5.54610014,9.751860619,0.855314612,68.50534821,0.649565637,0.7831215859999999,-0.075600356
Myanmar,34.4,62.32282446,4.308000088,8.680481911000001,0.78440702,58.96171188,0.895075202,0.645124316,0.560663998
Namibia,59.1,86.57908282,4.571100235,9.203141212,0.846880972,56.50148773,0.767520964,0.8514497879999999,-0.18530646
