,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Score,Happiness Score,Happiness Score,Happiness Score,Happiness Score,Economy (GDP per Capita),Economy (GDP per Capita),Economy (GDP per Capita),Economy (GDP per Capita),Economy (GDP per Capita),Family,Family,Family,Family,Family,Health (Life Expectancy),Health (Life Expectancy),Health (Life Expectancy),Health (Life Expectancy),Health (Life Expectancy),Freedom,Freedom,Freedom,Freedom,Freedom,Trust (Government Corruption),Trust (Government Corruption),Trust (Government Corruption),Trust (Government Corruption),Trust (Government Corruption),Generosity,Generosity,Generosity,Generosity,Generosity,year,year,year,year,year
,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std
Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,84.6,85.0,80,90,4.159326868617086,5.22920004119873,5.212000000000001,5.2010000000000005,5.291,0.03668379062192544,1.073644353126526,1.043,1.02389,1.1536017656326298,0.06078834935318421,1.03175005104065,1.147,0.76042,1.161,0.1781619841468687,0.6196531551818849,0.603,0.5407757759094239,0.769,0.09327791844283748,0.38054516765022284,0.3703,0.35100000000000003,0.43,0.03345792627975607,0.1757555014209748,0.17914000000000002,0.16065,0.182,0.00874726284824918,0.04913186805534362,0.0452693402767181,0.031,0.07799,0.018901130760161002,2017.0,2017.0,2015,2019,1.5811388300841898
Bahrain,42.4,42.0,37,49,4.33589667773576,6.113799978637696,6.105,5.96,6.218,0.1031586226705097,1.390482452201844,1.3619999999999999,1.32376,1.4884122610092199,0.07085831728934767,1.24346409224701,1.3231104612350502,0.9439700000000001,1.368,0.17839958491489247,0.7252506069412232,0.698,0.653133034706116,0.871,0.08990280012513151,0.5190833838310243,0.536,0.45492,0.594,0.05563885170270414,0.21075243391418463,0.257042169570923,0.11,0.306,0.08841992611109133,0.2031516973667144,0.17362,0.17147,0.255,0.04207496562835749,2017.0,2017.0,2015,2019,1.5811388300841898
Bangladesh,113.8,110.0,109,125,6.685805860178712,4.580199960327148,4.60799980163574,4.456,4.694,0.09940421139340413,0.5239965950584413,0.54177,0.39753,0.586682975292206,0.0737353191040684,0.6383363481140136,0.735131740570068,0.24749000000000002,0.9279999999999999,0.2888772373673209,0.5933542067108153,0.579,0.52989,0.723,0.07861938129163032,0.47826733188247683,0.478356659412384,0.39778,0.58,0.07764028959609096,0.1324475718774796,0.12583,0.123717859387398,0.14400000000000002,0.010130119078759138,0.17895907042789463,0.17225535213947304,0.153,0.21222,0.023161566757309127,2017.0,2017.0,2015,2019,1.5811388300841898
Belarus,68.2,67.0,59,81,9.011104260855047,5.597999953460694,5.5689997673034695,5.3229999999999995,5.813,0.2106727399881406,1.085019511993408,1.067,1.0319200000000002,1.15655755996704,0.05581028866805624,1.338153043235778,1.4449452161788898,1.04993,1.4980000000000002,0.1918323481274662,0.6987668533554078,0.7,0.6310399999999999,0.789,0.06680224043751555,0.30153805237579345,0.295400261878967,0.235,0.37938,0.05164092869330651,0.1635567643346786,0.156313821673393,0.142,0.1909,0.019218675474608912,0.120003501821518,0.11045999999999999,0.094,0.15513750910759,0.026171513545132436,2017.0,2017.0,2015,2019,1.5811388300841898
Belgium,17.6,18.0,16,19,1.1401754250991378,6.92139995880127,6.9270000000000005,6.89099979400635,6.937,0.01774269232985689,1.3753981521530159,1.3559999999999999,1.30782,1.4637807607650801,0.06688709770266169,1.3574925396728517,1.4623126983642598,1.05249,1.504,0.1913049183634042,0.8828703738708497,0.894,0.8180918693542479,0.986,0.06919298810078088,0.5387621444778443,0.5397707223892211,0.473,0.5845,0.04746254506648944,0.23784462621307378,0.24,0.21,0.26248,0.0207602314628191,0.20888066752433776,0.2225,0.16,0.2424,0.03408129620083786,2017.0,2017.0,2015,2019,1.5811388300841898
Belize,50.333333333333336,50.0,49,52,1.5275252316519474,5.955999950408937,5.956,5.955999851226809,5.956,8.589424192969752e-08,0.8637117720158893,0.87616,0.807,0.907975316047668,0.051625791981236506,0.9563225996653234,1.0814177989959701,0.68655,1.101,0.2338350001532719,0.4599605886745453,0.45569,0.45019176602363603,0.474,0.012465410020881345,0.5509397907447813,0.5475093722343439,0.51231,0.593,0.04045423158790146,0.09776369053840638,0.0965810716152191,0.08900000000000001,0.10770999999999999,0.009410896112385377,0.21995188028494536,0.23684000000000002,0.183,0.24001564085483604,0.03204063460910889,2017.0,2017.0,2016,2018,1.0
Benin,137.8,143.0,102,155,21.440615662802227,3.90100001296997,3.65700006484985,3.34,4.883,0.6265121643578193,0.3767450815467834,0.39299999999999996,0.28665,0.43108540773391707,0.054010806818300484,0.3404699687099456,0.37200000000000005,0.10419,0.43700000000000006,0.13721553440450993,0.2752620422611236,0.24,0.20993021130561804,0.397,0.08135757873424952,0.4193865551891326,0.42596277594566295,0.349,0.4845,0.05035504945955836,0.07136780305576325,0.067,0.0609290152788162,0.08199999999999999,0.009193944172866907,0.186069692234993,0.1826,0.163,0.207948461174965,0.01866085919050121,2017.0,2017.0,2015,2019,1.5811388300841898
Bhutan,90.4,95.0,79,97,8.354639429682168,5.124800031280518,5.082,5.01100015640259,5.252999999999999,0.09762013675824026,0.8235072777023316,0.813,0.77042,0.885416388511658,0.04574457700509926,1.201687302886962,1.321,0.9083600000000001,1.3401265144348102,0.19155070946911634,0.5397078584976196,0.527,0.495879292488098,0.604,0.04788158074370495,0.49846753612518324,0.5015376806259161,0.457,0.541,0.039018628352587036,0.1654860779619216,0.16699999999999998,0.15445,0.17338038980960802,0.007614329820076956,0.43469890903282166,0.474054545164108,0.364,0.48546000000000006,0.061968169690420044,2017.0,2017.0,2015,2019,1.5811388300841898
Bolivia,58.2,59.0,51,62,4.32434966208793,5.813199990844726,5.822,5.752000000000001,5.89,0.052408966558177665,0.7672613132095336,0.7759999999999999,0.68133,0.833756566047668,0.05673044814627608,1.0951638103866579,1.209,0.8377899999999999,1.2276190519332901,0.17798728252776294,0.539306049900055,0.508,0.4697,0.706,0.09737205187795116,0.5518965853691102,0.5587329268455511,0.50961,0.606,0.041621420359528004,0.06878754523229598,0.064,0.054000000000000006,0.08800000000000001,0.013738404804025854,0.18518014494705198,0.20536,0.13699999999999998,0.22556072473526,0.042785102927420285,2017.0,2017.0,2015,2019,1.5811388300841898
Bosnia and Herzegovina,88.8,90.0,78,96,6.906518659932802,5.161800032043457,5.162999999999999,4.949,5.386,0.1557520517303061,0.9216938835258484,0.9338299999999999,0.8322299999999999,0.982409417629242,0.05573470866934142,0.9844331875,1.0693359375,0.64367,1.212,0.21686978724107303,0.7613312614860535,0.758,0.705186307430267,0.845,0.0589775620626352,0.17679263538074502,0.204403176903725,0.09245,0.28,0.08130097432379002,0.0016539999999999999,0.0,0.0,0.006,0.0026207975885214787,0.2709674990119934,0.263,0.21600000000000003,0.328867495059967,0.04399096555812396,2017.0,2017.0,2015,2019,1.5811388300841898
Botswana,140.2,142.0,128,148,8.012490249604056,3.830000006484986,3.7660000324249303,3.488,4.332,0.3359315391004577,1.0535808308715822,1.041,0.99355,1.12209415435791,0.053500012719455835,1.107410998916626,1.145,0.89186,1.2215549945831299,0.1278141144234407,0.3384071018753052,0.34752,0.047760000000000004,0.5379999999999999,0.18068215406549754,0.4906072665863038,0.49495,0.44088999999999995,0.557,0.045769474737622266,0.10460263981676102,0.1,0.092,0.12474,0.012562738141244938,0.07904168964338301,0.0993484482169151,0.025,0.12425,0.04301884835367123,2017.0,2017.0,2015,2019,1.5811388300841898
Brazil,23.0,22.0,16,32,6.928203230275509,6.6578000457763675,6.6350002288818395,6.3,6.983,0.3073576050641303,1.033226642089844,1.004,0.98124,1.1073532104492199,0.059648663587128115,1.323311200904846,1.43130600452423,1.03938,1.474,0.18476365151592097,0.6809444705810546,0.675,0.61415,0.802,0.07673989623798148,0.4430387493591308,0.437453746795654,0.39,0.493,0.04768809080117002,0.1203925522317886,0.11109276115894301,0.086,0.17521,0.037999566173504605,0.134969978928566,0.14574,0.099,0.16234989464282998,0.028733157808750544,2017.0,2017.0,2015,2019,1.5811388300841898
Bulgaria,113.0,105.0,97,134,17.219175357722566,4.6186000450134275,4.71400022506714,4.217,5.011,0.38199778891469127,1.0865358176651,1.092,1.01216,1.1614590883255,0.05687096734728642,1.2987878916854858,1.4343794584274299,0.92542,1.515,0.26811208888001437,0.7359535360908509,0.7120000000000001,0.67806,0.815,0.05448745310818732,0.2954583435173034,0.30587,0.21219000000000002,0.359,0.05329135879320027,0.007784306189954282,0.00872,0.004,0.0110515309497714,0.002739531074789651,0.1010635388760566,0.113177694380283,0.064,0.12793,0.027267678001966555,2017.0,2017.0,2015,2019,1.5811388300841898
Burkina Faso,133.4,134.0,115,152,15.598076804529459,4.07380001296997,4.03200006484985,3.5869999999999997,4.587,0.429193078514366,0.31465954271698,0.31995,0.25811999999999996,0.35022771358490007,0.034486407281028676,0.9357400010910041,1.04328000545502,0.63054,1.097,0.19507155582840993,0.2668128517332078,0.254,0.21297,0.38,0.06799271679573173,0.32399957020378123,0.32436785101890603,0.255,0.39493,0.050075668276740176,0.12299562119722363,0.12533,0.113,0.12832000000000002,0.006439530684604473,0.2127729369163514,0.21746999999999997,0.175,0.250864684581757,0.035796432609466015,2017.0,2017.0,2015,2019,1.5811388300841898
Burundi,153.8,156.0,145,157,5.069516742254633,3.078999994277954,2.905,2.90499997138977,3.775,0.38907583128368467,0.062446513733387,0.06831,0.0153,0.09162256866693501,0.03238134417321478,0.4708167168693541,0.447,0.23442,0.629793584346771,0.16517918131998746,0.21160815833663937,0.15747,0.145,0.38,0.0993424019259708,0.10132015064001083,0.065,0.0432,0.22,0.07209841469366951,0.10699158900928499,0.09419,0.076,0.18,0.041883817166888555,0.1859210369195938,0.19727,0.149,0.20443518459796897,0.023566118450653137,2017.0,2017.0,2015,2019,1.5811388300841898
